sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,aliases,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,source,version,disclaimerEn,disclaimerAr,notes
188,Urology,Percutaneous Nephrolithotomy (PCNL),تفتيت حصى الكلى عبر الجلد,percutaneous-nephrolithotomy-pcnl,Percutaneous Nephrolithotomy (PCNL) | تفتيت حصى الكلى عبر الجلد,Kidney and percutaneous access tract,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Percutaneous Nephrolithotomy (PCNL)
Procedure (Arabic): تفتيت حصى الكلى عبر الجلد
Specialty: Urology
Anatomical region / focus: Kidney and percutaneous access tract
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",percutaneous-nephrolithotomy-pcnl_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/percutaneous-nephrolithotomy-pcnl/percutaneous-nephrolithotomy-pcnl_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/percutaneous-nephrolithotomy-pcnl/percutaneous-nephrolithotomy-pcnl_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
189,General Surgery / Other,Pilonidal Sinus,السinus الشعري العجاني,pilonidal-sinus,Pilonidal Sinus | السinus الشعري العجاني,Sacrococcygeal region,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Pilonidal Sinus
Procedure (Arabic): السinus الشعري العجاني
Specialty: General Surgery / Other
Anatomical region / focus: Sacrococcygeal region
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",pilonidal-sinus_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/pilonidal-sinus/pilonidal-sinus_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/pilonidal-sinus/pilonidal-sinus_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
190,Radiology / Interventional Radiology,Plain Cath Insertion,Plain Cath Insertion,plain-cath-insertion,Plain Cath Insertion | Plain Cath Insertion,Central vein and catheter/port device,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Plain Cath Insertion
Procedure (Arabic): Plain Cath Insertion
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Central vein and catheter/port device
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",plain-cath-insertion_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/plain-cath-insertion/plain-cath-insertion_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/plain-cath-insertion/plain-cath-insertion_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
191,Radiology / Interventional Radiology,Port-A-Cath Insertion,إدخال بورت الكاث,port-a-cath-insertion,Port-A-Cath Insertion | إدخال بورت الكاث,Central vein and catheter/port device,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Port-A-Cath Insertion
Procedure (Arabic): إدخال بورت الكاث
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Central vein and catheter/port device
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",port-a-cath-insertion_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/port-a-cath-insertion/port-a-cath-insertion_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/port-a-cath-insertion/port-a-cath-insertion_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
192,"Ear, Nose and Throat",Postop Instruction of Stapedectomy Procedure,Postop Instruction of Stapedectomy Procedure,postop-instruction-of-stapedectomy-procedure,Postop Instruction of Stapedectomy Procedure | Postop Instruction of Stapedectomy Procedure,"Middle ear, stapes bone, and oval window",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Postop Instruction of Stapedectomy Procedure
Procedure (Arabic): Postop Instruction of Stapedectomy Procedure
Specialty: Ear, Nose and Throat
Anatomical region / focus: Middle ear, stapes bone, and oval window
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",postop-instruction-of-stapedectomy-procedure_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ent/postop-instruction-of-stapedectomy-procedure/postop-instruction-of-stapedectomy-procedure_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/postop-instruction-of-stapedectomy-procedure/postop-instruction-of-stapedectomy-procedure_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
193,Ophthalmology,Probing and Irrigation,Probing and Irrigation,probing-and-irrigation,Probing and Irrigation | Probing and Irrigation,Anatomy specific to Probing and Irrigation,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Probing and Irrigation
Procedure (Arabic): Probing and Irrigation
Specialty: Ophthalmology
Anatomical region / focus: Anatomy specific to Probing and Irrigation
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",probing-and-irrigation_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/probing-and-irrigation/probing-and-irrigation_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/probing-and-irrigation/probing-and-irrigation_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
194,Urology,Prostatectomy (Radical),استئصال البروستاتا الجذري,prostatectomy-radical,Prostatectomy (Radical) | استئصال البروستاتا الجذري,"Prostate, bladder neck, and urethra",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Prostatectomy (Radical)
Procedure (Arabic): استئصال البروستاتا الجذري
Specialty: Urology
Anatomical region / focus: Prostate, bladder neck, and urethra
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",prostatectomy-radical_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/prostatectomy-radical/prostatectomy-radical_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/prostatectomy-radical/prostatectomy-radical_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
195,Ophthalmology,Pterygium Excision with Autograft,Pterygium Excision with Autograft,pterygium-excision-with-autograft,Pterygium Excision with Autograft | Pterygium Excision with Autograft,Eye surface and conjunctiva,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Pterygium Excision with Autograft
Procedure (Arabic): Pterygium Excision with Autograft
Specialty: Ophthalmology
Anatomical region / focus: Eye surface and conjunctiva
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",pterygium-excision-with-autograft_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/pterygium-excision-with-autograft/pterygium-excision-with-autograft_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/pterygium-excision-with-autograft/pterygium-excision-with-autograft_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
196,Ophthalmology,Ptosis,تدلي الجفن,ptosis,Ptosis | تدلي الجفن,Upper eyelid and levator muscle,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Ptosis
Procedure (Arabic): تدلي الجفن
Specialty: Ophthalmology
Anatomical region / focus: Upper eyelid and levator muscle
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",ptosis_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/ptosis/ptosis_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/ptosis/ptosis_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
197,Ophthalmology,Punctoplasty,Punctoplasty,punctoplasty,Punctoplasty | Punctoplasty,Eyelid punctum and tear drainage,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Punctoplasty
Procedure (Arabic): Punctoplasty
Specialty: Ophthalmology
Anatomical region / focus: Eyelid punctum and tear drainage
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",punctoplasty_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/punctoplasty/punctoplasty_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/punctoplasty/punctoplasty_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
198,Gastroenterology / Hepatobiliary Surgery,Pyloromyotomy (Child-Young Person),شق العضلة العاصرة للمعدة للأطفال,pyloromyotomy-child-young-person,Pyloromyotomy (Child-Young Person) | شق العضلة العاصرة للمعدة للأطفال,Pylorus and stomach outlet,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Pyloromyotomy (Child-Young Person)
Procedure (Arabic): شق العضلة العاصرة للمعدة للأطفال
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Pylorus and stomach outlet
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",pyloromyotomy-child-young-person_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/pyloromyotomy-child-young-person/pyloromyotomy-child-young-person_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/pyloromyotomy-child-young-person/pyloromyotomy-child-young-person_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
199,Gastroenterology / Hepatobiliary Surgery,Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION),Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION),pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion,Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION) | Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION),Pylorus and stomach outlet,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION)
Procedure (Arabic): Pyloromyotomy (Ramstedts Operation) (Child-Young Person) (PEDIATRIC OPINION)
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Pylorus and stomach outlet
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion/pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion/pyloromyotomy-ramstedts-operation-child-young-person-pediatric-opinion_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
200,Breast Surgery,Reduction Mammoplasty,تصغير الثدي,reduction-mammoplasty,Reduction Mammoplasty | تصغير الثدي,Breast and chest wall,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Reduction Mammoplasty
Procedure (Arabic): تصغير الثدي
Specialty: Breast Surgery
Anatomical region / focus: Breast and chest wall
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",reduction-mammoplasty_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/breast-surgery/reduction-mammoplasty/reduction-mammoplasty_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/reduction-mammoplasty/reduction-mammoplasty_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
201,General Surgery / Other,Reflux Operation - Laparoscopic,عملية الارتجاع بالمنظار,reflux-operation-laparoscopic,Reflux Operation - Laparoscopic | عملية الارتجاع بالمنظار,Anatomy specific to Reflux Operation - Laparoscopic,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Reflux Operation - Laparoscopic
Procedure (Arabic): عملية الارتجاع بالمنظار
Specialty: General Surgery / Other
Anatomical region / focus: Anatomy specific to Reflux Operation - Laparoscopic
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",reflux-operation-laparoscopic_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/reflux-operation-laparoscopic/reflux-operation-laparoscopic_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/reflux-operation-laparoscopic/reflux-operation-laparoscopic_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
202,General Surgery / Other,Reflux Operation Open,عملية الارتجاع بالجراحة المفتوحة,reflux-operation-open,Reflux Operation Open | عملية الارتجاع بالجراحة المفتوحة,Anatomy specific to Reflux Operation Open,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Reflux Operation Open
Procedure (Arabic): عملية الارتجاع بالجراحة المفتوحة
Specialty: General Surgery / Other
Anatomical region / focus: Anatomy specific to Reflux Operation Open
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",reflux-operation-open_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/reflux-operation-open/reflux-operation-open_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/reflux-operation-open/reflux-operation-open_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
203,Obstetrics & Gynecology,Removal of Ectopic Pregnancy by Laparoscopy Laparotomy,إزالة الحمل خارج الرحم بالمنظار أو فتح البطن,removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy,Removal of Ectopic Pregnancy by Laparoscopy Laparotomy | إزالة الحمل خارج الرحم بالمنظار أو فتح البطن,Uterus and fallopian tube,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Removal of Ectopic Pregnancy by Laparoscopy Laparotomy
Procedure (Arabic): إزالة الحمل خارج الرحم بالمنظار أو فتح البطن
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and fallopian tube
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy/removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy/removal-of-ectopic-pregnancy-by-laparoscopy-laparotomy_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
204,General Surgery / Other,Removal of Genital Warts,إزالة ثآليل الأعضاء التناسلية,removal-of-genital-warts,Removal of Genital Warts | إزالة ثآليل الأعضاء التناسلية,Skin wart and surrounding skin,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Removal of Genital Warts
Procedure (Arabic): إزالة ثآليل الأعضاء التناسلية
Specialty: General Surgery / Other
Anatomical region / focus: Skin wart and surrounding skin
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",removal-of-genital-warts_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/removal-of-genital-warts/removal-of-genital-warts_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/removal-of-genital-warts/removal-of-genital-warts_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
205,"Ear, Nose and Throat",Rhinoplasty Surgery Consent,موافقة جراحة تجميل الأنف,rhinoplasty-surgery-consent,Rhinoplasty Surgery Consent | موافقة جراحة تجميل الأنف,"Nasal septum, turbinates, and nasal cavity",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Rhinoplasty Surgery Consent
Procedure (Arabic): موافقة جراحة تجميل الأنف
Specialty: Ear, Nose and Throat
Anatomical region / focus: Nasal septum, turbinates, and nasal cavity
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",rhinoplasty-surgery-consent_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ent/rhinoplasty-surgery-consent/rhinoplasty-surgery-consent_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/rhinoplasty-surgery-consent/rhinoplasty-surgery-consent_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
